x,y,category,kNN_hit
11.012322,48.203022,TURKEY,1.0
10.020211,48.554142,TURKEY,1.0
12.122934,44.625446,TURKEY,1.0
10.733157,40.496693,TURKEY,1.0
2.6314802,34.02415,TURKEY,0.5714285714285714
3.4193678,34.36905,TURKEY,0.5714285714285714
16.512545,51.706722,TURKEY,1.0
16.128958,51.098087,TURKEY,1.0
15.24351,50.45735,TURKEY,1.0
16.045107,50.58327,TURKEY,1.0
7.6993375,42.546764,TURKEY,1.0
6.416482,24.504238,TURKEY,0.5714285714285714
9.3624935,23.316916,TURKEY,0.42857142857142855
14.4075985,49.67645,TURKEY,1.0
12.986438,49.106575,TURKEY,1.0
14.012888,48.231106,TURKEY,1.0
13.815712,46.140293,TURKEY,1.0
14.829407,48.457767,TURKEY,1.0
7.109936,44.05137,TURKEY,1.0
13.994676,47.518795,TURKEY,1.0
8.469546,40.056736,TURKEY,1.0
7.9913425,34.900738,TURKEY,0.5714285714285714
7.6703215,36.16009,TURKEY,0.7142857142857143
13.66148,49.41568,TURKEY,1.0
12.19915,49.040955,TURKEY,1.0
12.930618,46.9593,TURKEY,1.0
9.141861,37.761417,TURKEY,1.0
2.5554404,34.41705,TURKEY,0.5714285714285714
3.370911,34.769344,TURKEY,0.5714285714285714
-7.690304,39.499973,TURKEY,1.0
-3.797867,19.975174,TURKEY,0.0
-2.4176335,32.31672,CHICKEN,1.0
2.054549,42.387245,CHICKEN,0.8571428571428571
-2.358391,40.17717,CHICKEN,1.0
-31.20495,10.471357,CHICKEN,0.0
1.2982069,34.003643,CHICKEN,0.42857142857142855
-56.612846,14.102401,SOUP,0.42857142857142855
-35.85268,19.064507,SOUP,1.0
-52.06888,28.256708,SOUP,1.0
-36.412025,19.327675,SOUP,1.0
-36.513367,18.377184,SOUP,1.0
-45.865185,18.829596,SOUP,1.0
-50.537357,28.844637,SOUP,1.0
-56.53119,14.397913,SOUP,0.42857142857142855
-40.784416,14.015048,SOUP,1.0
-41.64374,16.07453,SOUP,1.0
-43.051178,18.232866,SOUP,1.0
-42.979607,14.416429,SOUP,1.0
-47.889927,21.580847,SOUP,1.0
-53.9477,21.61237,SOUP,0.8571428571428571
-44.168045,16.67532,SOUP,1.0
-57.685017,23.639887,SOUP,0.5714285714285714
-42.603973,16.92689,SOUP,1.0
-41.241184,19.589504,SOUP,1.0
-56.853832,23.245657,SOUP,0.7142857142857143
-62.419693,4.0545797,SOUP,0.14285714285714285
-51.366184,27.38433,SOUP,1.0
-51.091488,28.230608,SOUP,1.0
-41.593353,10.861829,SOUP,1.0
-45.78539,17.88262,SOUP,1.0
-43.037357,18.714533,SOUP,1.0
-40.048008,16.958303,SOUP,1.0
-47.63954,19.922413,SOUP,1.0
-41.930134,20.593828,SOUP,1.0
-51.66752,27.783705,SOUP,1.0
-55.450912,23.77281,SOUP,0.8571428571428571
-44.15661,17.005806,SOUP,1.0
-42.936222,14.31623,SOUP,1.0
-50.587997,28.197224,SOUP,1.0
-43.085434,16.505821,SOUP,1.0
-42.35757,15.059601,SOUP,1.0
-43.028103,25.059929,SOUP,1.0
-36.591335,19.095266,SOUP,1.0
-57.10639,23.467804,SOUP,0.7142857142857143
-37.191826,19.699968,SOUP,1.0
-40.878933,16.898058,SOUP,1.0
-41.730526,17.154083,SOUP,1.0
-41.1085,17.589434,SOUP,1.0
-42.284286,17.018246,SOUP,1.0
-40.685368,18.80893,SOUP,1.0
-41.460896,15.012074,SOUP,1.0
-50.452858,30.21667,SOUP,1.0
-41.105476,19.513369,SOUP,1.0
-43.27797,16.56092,SOUP,1.0
-56.644596,23.059803,SOUP,0.7142857142857143
-55.606045,25.004135,SOUP,0.8571428571428571
-56.263855,24.755259,SOUP,0.8571428571428571
-50.921818,9.865033,SOUP,0.5714285714285714
-54.390404,23.056059,SOUP,0.8571428571428571
-57.802982,24.04591,SOUP,0.5714285714285714
-56.489006,22.799633,SOUP,0.5714285714285714
-13.9542055,-17.589935,SOUP,0.7142857142857143
-13.949008,-17.591791,SOUP,0.5714285714285714
-15.746885,-16.672646,SOUP,1.0
-15.777795,-16.659235,SOUP,1.0
-17.347492,-15.877693,SOUP,0.7142857142857143
-41.95074,17.40607,SOUP,1.0
-42.59566,14.26766,SOUP,1.0
-39.304726,19.20137,SOUP,1.0
-50.329494,29.552921,SOUP,1.0
-41.052517,21.616943,SOUP,1.0
-41.20911,22.178425,SOUP,1.0
-40.44073,22.361652,SOUP,1.0
-44.058186,11.850068,SOUP,1.0
-42.241173,10.87156,SOUP,1.0
-43.875694,11.772414,SOUP,1.0
-41.14362,21.82046,SOUP,1.0
-43.080555,24.617538,SOUP,1.0
-39.14061,21.02297,SOUP,1.0
-41.29829,22.14062,SOUP,1.0
-44.070663,11.793448,SOUP,1.0
-40.426754,21.387583,SOUP,1.0
-50.410404,27.383636,SOUP,1.0
-43.895454,20.5906,SOUP,1.0
-36.589252,18.130415,SOUP,1.0
-50.468765,25.46937,SOUP,1.0
-39.502052,20.690985,SOUP,1.0
-50.281574,26.537489,SOUP,1.0
-44.29051,21.599382,SOUP,1.0
-42.757935,21.878712,SOUP,1.0
-44.384766,19.434301,SOUP,1.0
-45.166157,19.768736,SOUP,1.0
-46.58501,13.354258,SOUP,1.0
-46.855488,21.147608,SOUP,1.0
-61.024883,3.8903944,SOUP,0.14285714285714285
-50.319565,25.865307,SOUP,1.0
-42.471024,10.906201,SOUP,1.0
-45.190777,20.071383,SOUP,1.0
-43.052387,20.17638,SOUP,1.0
-45.143116,20.855915,SOUP,1.0
-46.59715,14.066006,SOUP,1.0
-43.964428,20.287699,SOUP,1.0
-47.298485,13.633674,SOUP,1.0
-44.377335,21.032621,SOUP,1.0
-43.122116,24.630863,SOUP,1.0
-50.921944,9.866358,SOUP,0.5714285714285714
-39.236004,20.720646,SOUP,1.0
-46.42786,15.8857565,SOUP,1.0
-44.47328,20.694029,SOUP,1.0
-44.214172,20.141527,SOUP,1.0
-44.884357,20.490316,SOUP,1.0
-43.055447,20.535267,SOUP,1.0
-50.18416,25.937489,SOUP,1.0
-50.415436,28.885393,SOUP,1.0
-47.176285,13.199017,SOUP,1.0
-46.737556,12.828033,SOUP,1.0
-54.431538,22.791548,SOUP,0.8571428571428571
-54.36724,22.302256,SOUP,0.8571428571428571
-53.738884,22.047853,SOUP,0.8571428571428571
-48.355442,12.958182,SOUP,1.0
-48.35592,12.959211,SOUP,1.0
-48.327953,13.157385,SOUP,1.0
-48.290035,13.804782,SOUP,1.0
-48.166702,19.350348,SOUP,1.0
-47.668766,13.5269985,SOUP,1.0
-48.1725,15.876075,SOUP,1.0
-47.133446,14.489357,SOUP,1.0
-47.884647,13.145438,SOUP,1.0
-44.328064,19.893314,SOUP,1.0
-43.818386,21.241993,SOUP,1.0
-42.410133,20.504782,SOUP,1.0
-50.35357,27.337095,SOUP,1.0
-18.693336,-15.305361,SOUP,0.5714285714285714
-58.72158,13.280828,SOUP,0.42857142857142855
-51.625233,16.34504,SOUP,1.0
-50.225647,14.347393,SOUP,1.0
-50.04924,14.336837,SOUP,1.0
-51.591976,15.909077,SOUP,1.0
-58.667267,24.393938,SOUP,0.2857142857142857
-51.97479,12.07008,SOUP,0.8571428571428571
-49.667778,15.915013,SOUP,1.0
-49.437504,15.805672,SOUP,1.0
-49.443874,14.847081,SOUP,1.0
-51.952106,12.091795,SOUP,1.0
-51.183983,17.114553,SOUP,1.0
-51.280045,17.125002,SOUP,1.0
-51.06508,15.602774,SOUP,1.0
-51.433628,17.18203,SOUP,1.0
-50.30654,29.568897,SOUP,1.0
-50.34516,27.335646,SOUP,1.0
-50.909122,8.656725,SOUP,0.2857142857142857
-47.47189,12.874141,SOUP,1.0
-45.896866,14.557971,SOUP,1.0
-59.469616,13.409484,SOUP,0.42857142857142855
-18.222681,-15.482055,SOUP,0.5714285714285714
-18.203947,-15.507534,SOUP,0.7142857142857143
11.459821,3.529767,PORK,0.8571428571428571
-4.838645,1.3083724,PORK,1.0
2.3205004,0.53745997,PORK,1.0
12.265427,16.682129,PORK,0.8571428571428571
10.351864,15.333446,PORK,0.7142857142857143
11.135004,16.595543,PORK,0.8571428571428571
10.86342,16.39203,PORK,0.8571428571428571
3.7654972,2.224135,PORK,1.0
-0.35587415,-6.1899304,PORK,1.0
-4.943146,1.3375081,PORK,1.0
-2.505015,-3.3921628,PORK,1.0
3.065732,2.111176,PORK,1.0
-1.2528194,-6.046171,PORK,1.0
-4.172856,3.516312,PORK,1.0
-0.87527984,5.522848,PORK,1.0
4.16171,2.2075622,PORK,1.0
5.5177264,4.0206156,PORK,1.0
-3.9755974,3.1931655,PORK,1.0
-0.82916725,3.7947206,PORK,1.0
-3.4970512,-0.49556696,PORK,1.0
-1.6403017,-6.2169085,PORK,1.0
-2.4441657,-5.3513207,PORK,1.0
-2.5590675,-5.0381737,PORK,1.0
-3.924734,0.019977322,PORK,1.0
-2.029638,-2.760594,PORK,1.0
-3.0714455,-4.2438927,PORK,1.0
-3.329533,-4.338259,PORK,1.0
6.2592535,2.3817017,PORK,1.0
6.9826956,3.1046386,PORK,1.0
6.347358,3.463755,PORK,1.0
6.5807104,3.4315531,PORK,1.0
-2.393837,3.7368312,PORK,1.0
0.348581,-3.0684342,PORK,1.0
-0.41666567,3.2108755,PORK,1.0
0.008382358,3.1016443,PORK,1.0
-7.2062273,-0.60039866,PORK,1.0
1.1399759,4.6823897,PORK,1.0
-5.8458056,-2.06187,PORK,1.0
0.559919,4.8419266,PORK,1.0
-7.580462,-0.47882035,PORK,1.0
-2.216314,-2.6517394,PORK,1.0
-6.2229924,-1.8029008,PORK,1.0
-0.75519496,4.8840156,PORK,1.0
-6.903241,-0.35187197,PORK,1.0
1.0830687,3.9691927,PORK,1.0
-5.5337114,-1.6978344,PORK,1.0
0.4900743,4.0014324,PORK,1.0
-7.388913,-0.18301937,PORK,1.0
-1.447077,-2.545776,PORK,1.0
-5.971653,-1.4615718,PORK,1.0
-0.14706822,4.22443,PORK,1.0
-10.317075,-5.362834,PORK,0.8571428571428571
1.3716471,4.185774,PORK,1.0
-1.9056389,-4.9878926,PORK,1.0
-9.53171,-5.216702,PORK,1.0
