Energy1,Fat,Saturated Fat,MUFA,PUFA,Omega,Carbohydrates,Sugar,category,Name,x,y,Trustworthiness,Continuity,MRRE_False,MRRE_Missing,Neighborhood_Hit,accuracy
244.0,1.85,0.66,0.5,0.58,0.0,49.75,17.1,Fruit,Acerola Powder Freeze-Dried,-49.652218,-52.98314,0.9185714285714286,0.9485714285714286,0.926081937840259,0.961417200744263,0.8571428571428571,0.9386604989318448
306.0,3.9,0.5,0.0,0.0,0.0,47.1,46.3,Fruit,CO Sweetened Dried Goldenberries,11.444753,-61.8335,0.87,0.9042857142857142,0.9055113362276893,0.932740679484529,1.0,0.9031344324994831
654.0,65.21,6.126,8.933,47.17,0.0,13.71,2.61,Fruit,Californian Walnuts LHP40,71.5653,162.89311,0.9014285714285715,0.89,0.8620873819860795,0.7959479015918958,0.14285714285714285,0.8623659637516367
575.0,49.42,3.73,30.89,12.07,0.0,21.67,3.89,Nut,Californian Almonds Blanched Sliced Thin,-32.943226,151.87047,0.9942857142857143,0.9985714285714286,0.9797653504238164,0.9888102129419062,1.0,0.9903581765557165
575.0,49.42,3.73,0.0,0.0,0.0,21.67,3.89,Nut,Californian Almonds Blanched Diced EU,-101.73378,91.209465,0.99,0.99,0.9938925642615947,0.9938925642615947,1.0,0.9919462821307973
575.0,49.42,3.73,0.0,0.0,0.0,21.67,3.89,Nut,Californian Almonds Blanched Slivered EU,-101.73378,91.209465,0.99,0.99,0.9938925642615947,0.9938925642615947,1.0,0.9919462821307973
575.0,49.42,3.73,30.89,12.07,0.0,21.67,3.89,Nut,"Californian Almonds Nonpareil Supreme 20/22, 997,92kg Bin, pasteurized",-32.943226,151.87047,0.9942857142857143,0.9985714285714286,0.9797653504238164,0.9888102129419062,1.0,0.9903581765557165
575.0,49.42,3.73,0.0,0.0,0.0,21.67,3.89,Nut,"Californian Almonds Nonpareil Supreme 22/24, pasteurized",-101.73378,91.209465,0.99,0.99,0.9938925642615947,0.9938925642615947,1.0,0.9919462821307973
575.0,49.42,3.73,30.89,12.07,0.0,21.67,3.89,Nut,"Californian Almonds Nonpareil Supreme 25/27, pasteurized",-32.943226,151.87047,0.9942857142857143,0.9985714285714286,0.9797653504238164,0.9888102129419062,1.0,0.9903581765557165
575.0,49.42,3.73,30.89,12.07,0.0,21.67,3.89,Nut,"Californian Almonds Cal SSR 23/25, Non Pasteurized",-32.943226,151.87047,0.9942857142857143,0.9985714285714286,0.9797653504238164,0.9888102129419062,1.0,0.9903581765557165
318.0,0.8,0.1,0.0,0.0,0.0,74.0,66.0,Fruit,Dried Sour Cherry Sugar Infused,136.97543,11.390567,0.9014285714285715,0.9142857142857143,0.8591757976707326,0.9058989731927504,1.0,0.8951972641444422
325.0,1.7,0.2,0.0,0.0,0.0,72.0,63.0,Fruit,Cultivated Dried Blueberry Sugar Infused,96.62535,9.067971,0.9028571428571428,0.9085714285714286,0.8988095238095238,0.9044001102611812,1.0,0.9036595513748191
50.82,0.18,0.1,0.06,0.02,0.0,12.82,8.23,Fruit,"Colombian Guanábana Puree NFC, 13° Brix, Aseptic",-114.911095,-164.70068,0.9814285714285714,0.9671428571428572,0.9308197229687822,0.9299496933360899,1.0,0.9523352112190752
246.0,0.0,0.0,0.0,0.0,0.0,57.2,27.7,Fruit,"PE Passionfruit Juice Concentrate 50° Brix, Aseptic",-22.382158,-112.23372,0.9914285714285714,0.9585714285714286,0.9911274205774929,0.9785938253738543,1.0,0.9799303114878368
60.0,0.0,0.0,0.0,0.0,0.0,14.0,8.0,Fruit,"PE Passionfruit Juice NFC 14° Brix, Frozen",-92.82871,-119.352776,0.98,0.9742857142857143,0.9600475501343808,0.9765091999173041,1.0,0.9727106160843497
60.0,0.0,0.0,0.0,0.0,0.0,14.0,8.0,Fruit,"PE Passionfruit Juice NFC 14° Brix, Aseptic",-92.82871,-119.352776,0.98,0.9742857142857143,0.9600475501343808,0.9765091999173041,1.0,0.9727106160843497
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fruit,"PE Passionfruit Juice Concentrate 28° Brix, Frozen",-180.58804,-126.892715,1.0,1.0085714285714287,0.9789039349459031,0.9761043346426849,0.7142857142857143,0.9908949245400043
246.0,0.0,0.0,0.0,0.0,0.0,57.2,27.7,Fruit,"PE Passionfruit Juice Concentrate 50° Brix, Frozen",-22.382158,-112.23372,0.9914285714285714,0.9585714285714286,0.9911274205774929,0.9785938253738543,1.0,0.9799303114878368
50.0,0.13,0.02,0.0,0.0,0.08,10.1,8.9,Fruit,"CA Wild Blueberries IQF Fancy, Frozen",-138.96527,-51.808697,0.9228571428571428,0.9514285714285714,0.9173557990489973,0.951321411343119,0.8571428571428571,0.9357407311694577
575.0,49.42,3.73,30.89,12.07,14.6,21.67,3.89,Nut,Californian Almonds Nonpareil Extra No. 1 25/27,-71.57631,281.95618,0.9728571428571429,0.9771428571428571,0.969514506236648,0.9837450899317759,0.8571428571428571,0.975814899042106
235.0,0.01,0.0,0.0,0.0,0.0,58.61,41.3,Fruit,CA Wild Blueberry Juice Concentrate 65° Brix Frozen,24.836946,-121.802444,0.9614285714285714,0.9557142857142857,0.9587468127627317,0.933774378058025,1.0,0.9524160119909034
324.0,0.27,0.108,0.041,0.109,0.0,76.6,63.4,Fruit,EC Banana Dried Diced w/ 4% Banana Flour,106.705605,-61.891094,0.9728571428571429,0.9728571428571429,0.9353249259182689,0.9703845358693405,1.0,0.9628559368754738
298.0,0.5,0.0,0.0,0.0,0.0,67.0,64.0,Fruit,Dates Dehydrated 5-7 mm Diced w/ Rice Flour,52.385967,-163.09068,0.8042857142857143,0.8042857142857143,0.7667545310454138,0.6553218248225483,1.0,0.7576619461098476
